sch_name,sch_alias
苏州幼儿师范高等专科学校,苏州高等幼儿师范学校
苏州幼儿师范高等专科学校,苏州幼儿师范高等专科学校
中国人民解放军沈阳炮兵学院,沈阳炮兵学院
中国人民解放军沈阳炮兵学院,中国人民解放军沈阳炮兵学院
中国人民解放军装甲兵学院,中国人民解放军装甲兵学院
中国人民解放军重庆通信学院,中国人民解放军重庆通信学院
中国人民解放军重庆通信学院,重庆通信学院
西藏农牧学院,西藏农牧学院
中国人民解放军国防大学,中国国防大学
中国人民解放军国防大学,中国人民解放军国防大学
中国人民解放军第二炮兵指挥学院,二炮指挥学院
中国人民解放军第二炮兵指挥学院,中国人民解放军第二炮兵指挥学院
中国人民解放军海军潜艇学院,中国人民解放军海军潜艇学院
中国人民解放军镇江船艇学院,中国人民解放军镇江船艇学院
中国人民解放军陆军军官学院,解放军陆军军官学院
中国人民解放军陆军军官学院,陆军军官学院
中国人民解放军陆军军官学院,中国人民解放军陆军军官学院
中国人民解放军陆军军官学院,中国人民解放军炮兵学院
空军预警学院,空军预警学院
华南师范大学,华南师范
华南师范大学,华南师范大学
华南师范大学,华南师范学院
华南师范大学,華南師範大學
华南师范大学,華南師范大學
中国人民解放军第三军医大学,第三军医大学
中国人民解放军第三军医大学,中国人民解放军第三军医大学
中国人民解放军第三军医大学,重庆第三军医大学
中国人民解放军装甲兵技术学院,中国人民解放军装甲兵技术学院
空军第二飞行学院,空军第二飞行学院
中国人民解放军装甲兵工程学院,解放军装甲兵工程学院
中国人民解放军装甲兵工程学院,中国人民解放军装甲兵工程学院
中国人民解放军装甲兵工程学院,装甲兵工程学院
武警后勤学院,武警后勤学院
中国人民解放军西安政治学院,西安政治学院
中国人民解放军西安政治学院,中国人民解放军西安政治学院
中国人民解放军外国语学院,解放军外国语学院
中国人民解放军外国语学院,中国人民解放军外国语学院
中国人民解放军防空兵指挥学院,防空兵指挥学院
中国人民解放军防空兵指挥学院,郑州防空兵学院
中国人民解放军防空兵指挥学院,中国人民解放军防空兵指挥学院
吕梁职业技术学院,吕梁职业技术学院
辽宁特殊教育师范高等专科学校,辽宁省特殊教育师范学校
辽宁特殊教育师范高等专科学校,辽宁特殊教育师范高等专科学校
江西水利职业学院,江西水利职业学院
南阳农业职业学院,南阳农业职业学院
惠州城市职业学院,惠州城市职业学院
贵阳幼儿师范高等专科学校,贵阳幼儿师范高等专科学校
贵阳幼儿师范高等专科学校,贵阳幼儿师范学校
铜仁幼儿师范高等专科学校,思南师范学校
铜仁幼儿师范高等专科学校,铜仁幼儿师范高等专科学校
贵州建设职业技术学院,贵州建设职业技术学院
国防信息学院,国防信息学院
甘肃卫生职业学院,甘肃卫生职业技术学院(筹)
甘肃卫生职业学院,甘肃卫生职业学院
青海高等职业技术学院,青海高等职业技术学院
兰州科技职业学院,兰州科技职业学院
兰州科技职业学院,兰州信息工程中等专业学校
新疆科技职业技术学院,新疆科技职业技术学院
新疆科技职业技术学院,新疆科技职业技术学院(筹)
山东特殊教育职业学院,山东特殊教育职业学院
公安边防部队高等专科学校,公安边防部队高等专科学校
公安边防部队高等专科学校,广州公安边防部队高等专科学校
四川应用技术职业学院,四川应用技术职业学院
毕节幼儿师范高等专科学校,毕节幼儿师范高等专科学校
贵州农业职业学院,贵州农业职业学院
公安消防部队高等专科学校,公安消防部队高等专科学校
云南财经职业学院,云南财经职业学院
庆阳职业技术学院,庆阳职业技术学院
中国人民解放军理工大学,解放军理工大学
中国人民解放军理工大学,中国人民解放军理工大学
中国人民解放军军事交通学院,解放军军事交通学院
中国人民解放军军事交通学院,军事交通学院
中国人民解放军军事交通学院,天津军事交通学院
中国人民解放军军事交通学院,运输工程学院
中国人民解放军军事交通学院,中国人民解放军军事交通学院
复旦大学上海医学院,复旦大学上海医学院
复旦大学上海医学院,复旦大学医学院
南阳师范学院,南阳高等师范专科学校
南阳师范学院,南阳教育学院
南阳师范学院,南阳师范高等专科学校
南阳师范学院,南阳师范学院
南阳师范学院,南阳师院
南阳师范学院,南阳市师范学院
大连理工大学城市学院,大连理工大学城市学院
海南工商职业学院,海南工商职业学院
青岛理工大学琴岛学院,琴岛学院
青岛理工大学琴岛学院,青岛理工大学琴岛学院
四川工程职业技术学院,四川工程职业技术学院
武汉体育学院,武汉体育学院
武汉体育学院,武汉体院
重庆人文科技学院,西南大学育才学院
重庆人文科技学院,重庆人文科技学院
上海健康医学院,上海健康医学院
